Product Name,Product Rating,Product Price,Product ID
Gloria Vanderbilt Women's Classic Amanda High Rise Tapered Jean,4.3,12.0,B000NZTPJY
WallFlower Women's Luscious Curvy Bootcut Mid-Rise Insta Stretch Juniors Jeans (Standard and Plus),4.4,39.99,B07316V3KX
Levi's Women's Low Pro Jeans,4.2,20.18,B08NV1GT5Y
Signature by Levi Strauss & Co. Gold Label Women's Totally Shaping Pull-on Skinny Jeans (Available in Plus Size),4.2,27.5,B01H3EEK1U
Amazon Essentials Women's Pull-On Knit Jegging (Available in Plus Size),4.3,41.7,B07CJRHT14
Amazon Essentials Women's Stretch Pull-On Jegging (Available in Plus Size),4.2,18.35,B07RMMPRPS
Levi's Women's 311 Shaping Skinny Jeans (Also Available in Plus),4.4,20.28,B07R5QL4P3
Lee Women's Instantly Slims Classic Relaxed Fit Monroe Straight Leg Jean,4.2,23.83,B06Y4L9PKN
Lee Women's Ultra Lux Comfort with Flex Motion Bootcut Jean,4.5,24.93,B07B6LZQ8K
Signature by Levi Strauss & Co. Gold Women's Curvy Totally Shaping Straight Jeans (Available in Plus Size),4.4,26.99,B081GCNK5G
Levi's Women's Wedgie Straight Jeans,4.2,41.99,B08NV2J4H6
Signature by Levi Strauss & Co. Gold Label Women's Modern Skinny Jeans (Standard and Plus),4.2,36.93,B08NV151LS
Levi's Women's Ribcage Straight Ankle Jeans,4.4,41.7,B077R928NX
Lee Women's Ultra Lux Comfort with Flex Motion Straight Leg Jean,4.3,24.2,B09N5QJQH4
Signature by Levi Strauss & Co. Gold Label Women's Modern Bootcut Jeans (Also Available in Plus),4.4,27.64,B07PYT15ZN
GRAPENT Womens Flare Jeans High Waisted Wide Leg Baggy Jean for Women Stretch Denim Pants,4.5,40.99,B081G5D7F5
Democracy Women's Ab Solution Jegging,4.1,21.76,B0BRSHYJ5X
Levi's Women's 720 High Rise Super Skinny Jeans (Also Available in Plus),4.5,49.99,B0711M4WNB
Lee Women's Plus Size Relaxed Fit Straight Leg Jean,4.4,26.54,B0784W547T
Levi's Women's 94 Baggy (Also Available in Plus),4.3,26.99,B07B6N4N95
Signature by Levi Strauss & Co. Gold Label Women's Mid-Rise Slim Fit Capris (Standard and Plus),4.1,34.9,B09N5MKSV7
HDLTE Women Wide Leg Jeans High Waist Baggy Jeans Loose Boyfriend Jeans Denim Pants Y2K,4.4,41.89,B07QL1FTHT
Signature by Levi Strauss & Co. Gold Label Women's Totally Shaping Pull-on Bootcut (Also Available in Plus Size),4.0,36.7,B09WD4Z3CD
No Nonsense Women's Classic Indigo Denim Jean Leggings,4.3,29.9,B09JZXKRVK
Signature by Levi Strauss & Co womens Totally Shaping Straight Jeans,4.2,24.93,B06WRPHQJJ
Levi's Women's Classic Straight Jeans (Also Available in Plus),4.3,39.99,B09JZYR33G
Levi's Women's 725 High Rise Bootcut Jeans (Also Available in Plus),4.3,49.99,B081YX393K
Wrangler Women’s Retro Mae Mid Rise Stretch Boot Cut Jean,4.4,29.99,B084T26NS3
Signature by Levi Strauss & Co womens Modern Straight Jeans,4.4,48.52,B07MJX7HCM
Signature by Levi Strauss & Co. Gold Label Women's Totally Shaping Skinny Jeans (Standard and Plus),4.4,37.99,B077R6NM4Y
Lee Women's Relaxed Fit Straight Leg Jean,4.4,17.5,B07QKP8TR8
KUNMI Women's Flare Bell Bottom Jeans High Waisted Wide Leg Bootcut Jeans Stretchy Denim Pants,4.3,35.85,B00VBOVD46
Amazon Essentials Women's High-Rise Skinny Jean,4.2,16.99,B0CHDPPVHK
Lee Women's Legendary Mid Rise Bootcut Jean,4.2,29.98,B07QTVRF4V
Lee Women's Plus Size Ultra Lux Comfort with Flex Motion Straight Leg Jean,4.4,39.99,B088WJ3CH8
FLYING BANANA Women's Curvy Strtchy Bootcut Flare Denin Jeans,4.4,39.99,B07B6N8SX2
Levi's Women's Classic Bootcut Jeans,4.3,47.7,B0B2536GQ9
Gloria Vanderbilt Women's Amanda Pull on High Rise Jean,4.4,26.48,B081YWZNGN
Democracy Women's Ab Solution Straight Leg Jean,4.1,27.99,B0925CBFB6
KUNMI Women's Ripped Mid Waisted Boyfriend Jeans Loose Fit Distressed Stretchy Denim Pants,4.3,69.99,B0725M36LP
Lee Women's Legendary Mid Rise Straight Leg Jean,4.0,44.23,B09XHRFLHW
Signature by Levi Strauss & Co. Gold Label Women's Totally Shaping Bootcut Jeans (Available in Plus Size),4.3,44.99,B089D12DTY
Levi's Women's 721 High Rise Skinny Jeans (Also Available in Plus),4.4,27.99,B07QK93DW3
Democracy Women's Ab Solution Itty Bitty Boot,4.4,27.99,B00WXTY9RQ
No nonsense Stretch Denim Leggings for Women-Comfortable and Stylish Pants,4.4,39.99,B08GBHX5PS
High Waisted-Rise Colored Stretch Skinny Destroyed Ripped Distressed Jeans for Women Olive Mustard RED,4.2,25.55,B00N18KPIA
WallFlower Women's Ultra Skinny Mid-Rise Insta Soft Juniors Jeans (Standard and Plus),4.1,28.27,B07FK4K8CM
Levi's Women's 314 Shaping Straight Jeans,4.4,34.85,B07D1NJSF8
WallFlower Women's Instastretch Legendary Classic Fit Bootcut Jeans,4.3,16.98,B07FY451P2
NYDJ Women's Marilyn Straight Denim Jeans,4.3,59.99,B073SJNF5X
Levi's Women's 726 High Rise Flare Jeans,4.2,44.99,B06XL1BVV3
ETTELO Womens Jeans Mid Waisted Straight Leg Loose Stretchy Lightweight Tummy Control Trendy Jeans for Women 2023,4.4,39.99,B09N5WL8H2
Levi's Women's 501 Original Fit Jeans (Also Available in Plus),4.2,29.9,B0C1LB6TLC
Lee Women's Plus Size Legendary Mid Rise Straight Leg Jean,3.8,41.99,B09Z22JP63
HDLTE Women Wide Leg Jeans High Waist Baggy Jeans for Women Loose Boyfriends Jeans Denim Pants Y2K 90s,4.4,28.5,B089TT8BJC
Amazon Essentials Women's Skinny Jean,4.0,17.99,B08ZSFTWWB
Chic Classic Collection Women's Cotton Pull-on Pant with Elastic Waist,4.1,18.99,B07JVCH9CV
Chic Classic Collection Women's Stretch Elastic Waist Pull-On Legging Pant,4.1,35.1,B01K580YAW
Democracy Women's Ab Solution High Rise Ankle Jean,4.3,39.9,B01KHBJ53O
Lee Women's Plus Size Sculpting Slim Fit Skinny Leg Pull on Jean,4.4,23.92,B098BKTXYR
Amazon Essentials Women's Stretch Pull-On Jegging (Available in Plus Size),4.3,49.98,B07RX89KDQ
"Endlapin Oprah Favorite Jeans, 2023 New Seamed Front Wide Leg Jeans for Women High Waist",4.2,36.99,B07C8SYGYX
Allimy Women's High Rise Skinny Stretch Ripped Jeans High Waisted Destroyed Denim Pants,5.0,47.99,B0CHW4RMJR
Koinshha Womens High Waisted Jeans Flare Stretch Boyfriend Casual Bootcut Denim Pants,4.1,69.99,B0931ZLBNZ
Levi's Women's 711 Skinny Jeans (Also Available in Plus),3.9,38.99,B09SYZN21Q
Levi's Women's 501 Crop Jeans,4.4,26.88,B01FN6HGOS
Levi's Women's New Boyfriend Jeans,4.0,19.97,B096N1MSW1
Sidefeel Women Distressed Raw Hem Washed Boyfriend Jeans Destroyed Straight Leg Denim Pants,4.2,29.0,B08NTZTRJ6
NUFIWI Women Baggy Mid Waist Jeans Wide Leg Loose Boyfriend Denim Pants Straight Leg Cropped Barrel Jeans Y2k,3.9,31.99,B0BBMCSMXP
Women's Stretch Pull-On Jeans Skinny Ripped Distressed Denim Jeggings Regular-Plus Size,3.0,36.99,B0CHMJB2VJ
Signature by Levi Strauss & Co. Gold Label Women's Totally Shaping High Rise Skinny Jeans (Standard and Plus),4.1,26.0,B07GL7VQZP
PEIHOT Women's Jeans 90s Vintage Bootcut Jeans High Stretch Mid Rise Straight Leg Ripped Jeans Boot Cut Pull On Denim Pants,4.4,34.9,B081GCDQZW
Gboomo Womens Plus Size Skinny Jeans Stretchy High Waisted Ankle Jean,3.9,36.99,B0BNVMX5W3
Judy Blue Womens High Waist Tummy Control Skinny Jeans (Style 88417),4.2,26.94,B09K56HWZM
Lee Women's Sculpting Slim Fit Slim Leg Pull On Jean,4.0,27.99,B0B5F85K8J
KUNMI Women's Ripped High Waisted Skinny Jeans Button Fly Distressed Stretchy Denim Pants,4.2,41.96,B07C13C5N8
Lee Women's Mid Rise Boyfriend Jean,4.0,27.92,B0BY7YNPKQ
Signature by Levi Strauss & Co. Gold Label Women's Totally Shaping Flare Jean (Standard and Plus),4.0,44.0,B0B291V9XK
LookbookStore High Waisted Ripped Flare Jeans for Women Distressed Bell Bottom Jeans Wide Leg Pants,3.9,38.99,B0BKR31PL4
Signature by Levi Strauss & Co. Gold Label Women's Heritage High-Rise Loose Straight (Also Available in Plus Size),4.2,17.5,B0B1Q1X68H
Amazon Essentials Women's Skinny Jean,4.2,39.9,B0BKR2T14Q
WallFlower Women's Sassy Skinny High-Rise Insta Soft Juniors Jeans (Standard and Plus),4.2,43.98,B07RM838ZM
KUNMI Women's Ripped Boyfriend Slim Fit Jeans Frayed Distressed Stretchy Denim Pants,4.4,38.99,B07N9JDYXX
Lee Women’s Plus Size Legendary Mid Rise Bootcut Jean,3.9,40.99,B0CC28T38G
Lee Women's Plus-Size Flex Motion Regular Fit Bootcut Jean,4.3,69.74,B089RPXKBX
PLNOTME Women's High Waisted Jeans Boyfriend Baggy Straight Leg Casual Denim Pants,4.4,47.7,B07DJ5HT1B
LOLONG High Waisted Ripped Flare Jeans for Women Casual Distressed Pants,3.8,38.99,B0B17TKFBM
Sidefeel Women's Wide Leg Jeans High Waisted Stretchy Straight Leg Jeans Buttoned Loose Denim Pants with Pocket,4.0,19.07,B0C6LXS72B
Levi's Women's Premium Ribcage Straight Ankle Jeans,4.4,39.99,B0C4QCTSJV
Levi's Women's 94 Baggy Wide Leg Jean (Standard and Plus),4.2,36.99,B082KQ7B16
Sidefeel Women's Boyfriend Jeans Stretchy Ripped Distressed Denim Pants Size 4-18,4.2,31.66,B0BNJVFQZS
Lee Women's Plus Size Instantly Slims Classic Relaxed Fit Monroe Straight Leg Jean,3.8,19.19,B0BHDS2KRZ
roswear Women's Essentials Ripped Mid Rise Destroyed Skinny Jeans,4.3,34.99,B00BJ12606
KUNMI Womens Curvy High Waist Stretch Butt Lifting Skinny Colombian Jeans,4.2,28.49,B094MZY6BM
Lee Women's Legendary Mid Rise Flare Jean,3.8,39.99,B0973YB8BQ
Gloria Vanderbilt Women's Classic Amanda High Rise Tapered Jean,4.4,41.7,B0C5N8GJS5
KUNMI Women's Mid Waisted Skinny Ripped Jeans Slim Fit Distressed Stretchy Denim Pants,4.3,40.44,B000NZXMS4
HYBRID Women's Butt Lift Super Comfy Stretch Denim Skinny Yoga Jeans,4.3,35.7,B0CFTPBQ2P
RHODANTHE Women's Ripped Boyfriend Jeans Stretch Skinny Jean Trendy Distressed Straight Leg Jeans with Holes,4.1,33.03,B01E98C6QY
